method,train_mse,mse,cka,p_at_1,p_at_5,p_at_10,p_at_1_pool,p_at_5_pool,p_at_10_pool,pair,src,tgt,datasets,size,layer,n_train,n_test,elapsed_s,ridge_lambda,mlp_train_loss_final,mlp_val_loss_final,mlp_test_loss_final,mlp_best_val_loss,mlp_best_epoch,mlp_epochs_run
procrustes,4.0759361581876874e-05,5.695573054254055e-05,0.6945892320894513,0.7592867756315007,0.8632986627043091,0.8900445765230312,0.6523031203566122,0.7949479940564635,0.8291233283803864,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,0,2690,673,5.3,,,,,,,
affine,2.1004358131904155e-05,4.252019789419137e-05,0.7143285619706317,0.5616641901931649,0.725111441307578,0.787518573551263,0.4472511144130758,0.6077265973254086,0.6686478454680534,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,0,2690,673,5.3,,,,,,,
ridge,2.624299486342352e-05,3.310247848276049e-05,0.7523935242264248,0.4294205052005943,0.612184249628529,0.6894502228826151,0.31054977711738485,0.4769687964338782,0.5542347696879644,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,0,2690,673,5.3,0.1,,,,,,
mlp,5.315223097568378e-05,5.1212638936704025e-05,0.49418396943711107,0.0014858841010401188,0.007429420505200594,0.014858841010401188,0.0,0.0014858841010401188,0.0014858841010401188,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,0,2690,673,5.3,,5.307034581691321e-05,5.426807183539495e-05,5.122359289089218e-05,5.422204048954882e-05,52.0,73.0
identity,0.035993315279483795,0.03531944006681442,0.7574102512257855,0.007429420505200594,0.02526002971768202,0.041604754829123326,0.0029717682020802376,0.008915304606240713,0.010401188707280832,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,1,2690,673,4.36,,,,,,,
procrustes,0.004329934250563383,0.005424272269010544,0.7574102524911509,0.9019316493313522,0.9539375928677564,0.9702823179791976,0.8276374442793462,0.9182763744427934,0.9420505200594353,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,1,2690,673,4.36,,,,,,,
affine,0.002068090019747615,0.0041705830954015255,0.7700833387135492,0.8068350668647846,0.9197622585438335,0.9435364041604755,0.6939078751857355,0.8335809806835067,0.8811292719167905,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,1,2690,673,4.36,,,,,,,
ridge,0.002755223074927926,0.0032705769408494234,0.8022257811351985,0.7265973254086181,0.8647845468053492,0.9019316493313522,0.600297176820208,0.787518573551263,0.826151560178306,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,1,2690,673,4.36,10.0,,,,,,
mlp,0.004330378957092762,0.0043053594417870045,0.73434077939106,0.04606240713224369,0.13967310549777118,0.2050520059435364,0.022288261515601784,0.06537890044576523,0.09361069836552749,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,1,2690,673,4.36,,0.004345985962764213,0.004437085706740618,0.004320734180510044,0.004412009846419096,27.0,48.0
identity,0.08681465685367584,0.08486179262399673,0.81134522665152,0.005943536404160475,0.0237741456166419,0.03863298662704309,0.0014858841010401188,0.005943536404160475,0.008915304606240713,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,2,2690,673,4.8,,,,,,,
procrustes,0.006502328906208277,0.007921630516648293,0.8113452294693805,0.9435364041604755,0.9791976225854383,0.9881129271916791,0.8855869242199108,0.9554234769687965,0.9673105497771174,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,2,2690,673,4.8,,,,,,,
affine,0.003114677732810378,0.0062897601164877415,0.8208190394378877,0.87518573551263,0.9569093610698366,0.974739970282318,0.7786032689450223,0.8974739970282318,0.924219910846954,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,2,2690,673,4.8,,,,,,,
ridge,0.004038913641124964,0.004912794101983309,0.8598083049785029,0.8439821693907875,0.9316493313521546,0.9658246656760773,0.7682020802377415,0.8811292719167905,0.9063893016344725,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,2,2690,673,4.8,10.0,,,,,,
mlp,0.0062087709084153175,0.006173348519951105,0.8384783883405184,0.2199108469539376,0.45022288261515603,0.5646359583952452,0.11292719167904904,0.2555720653789004,0.3387815750371471,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,2,2690,673,4.8,,0.00619235623774952,0.006694899406284094,0.006173557601869106,0.006687935441732407,39.0,60.0
identity,0.12043873220682144,0.11744789779186249,0.8020632170597077,0.010401188707280832,0.0237741456166419,0.03417533432392273,0.0,0.005943536404160475,0.01337295690936107,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,3,2690,673,5.47,,,,,,,
procrustes,0.010288015007972717,0.012611282989382744,0.802063218155991,0.9435364041604755,0.9821693907875185,0.9955423476968797,0.9078751857355126,0.9673105497771174,0.9762258543833581,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,3,2690,673,5.47,,,,,,,
affine,0.004880418535321951,0.009821048006415367,0.8113981475565255,0.9034175334323923,0.974739970282318,0.9806835066864784,0.8335809806835067,0.9331352154531947,0.9479940564635958,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,3,2690,673,5.47,,,,,,,
ridge,0.005992996972054243,0.007735952269285917,0.8503982181693027,0.9063893016344725,0.9717682020802377,0.9851411589895989,0.8424962852897474,0.9316493313521546,0.9539375928677564,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,3,2690,673,5.47,10.0,,,,,,
mlp,0.008989274501800537,0.00910908356308937,0.8390261897057993,0.49777117384843983,0.7696879643387816,0.8306092124814265,0.3387815750371471,0.5690936106983655,0.6775631500742942,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,3,2690,673,5.47,,0.008966388965123579,0.009697383269667625,0.009128311648964882,0.009670378640294075,57.0,78.0
identity,0.16123926639556885,0.15675920248031616,0.8012954663470083,0.004457652303120356,0.019316493313521546,0.02674591381872214,0.0,0.0029717682020802376,0.007429420505200594,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,4,2690,673,6.48,,,,,,,
procrustes,0.015496902167797089,0.019418159499764442,0.8012954613279015,0.9658246656760773,0.9895988112927192,0.9955423476968797,0.9331352154531947,0.9762258543833581,0.9851411589895989,eng_latn-spa_latn,eng_latn,spa_latn,flores+opus+tatoeba+bouquet,1000mb,4,2690,673,6.48,,,,,,,
